# concept_id	english_anchor	gloss
c969	pollutant	noun
c970	pollute	verb
c971	pollute	adj
c972	software	noun
c973	interlingua	
c974	computer	noun
c975	french fries	noun
c976	spanish	adj
c977	spanish	noun
c978	offset	noun
c979	board	noun
c980	board	verb
c981	lol	
c982	abettor	noun
c983	portuguese	adj
c984	portuguese	noun
c985	precipitously	adv
c986	absence	noun
c987	absorbency	noun
c988	absolute	adj
c989	absolute	noun
c990	absorption	noun
c991	absorbent	adj
c992	absorbent	noun
c993	abstention	noun
c994	abstergent	noun
c995	abstinence	noun
c996	abstract	noun
c997	abstract	adj
c998	abstract	verb
c999	absorb	verb
c1000	abstraction	noun
c1001	abstractionism	noun
c1002	absurd	adj
c1003	absurd	noun
c1004	abuse	noun
c1005	abuse	verb
c1006	abundance	noun
c1007	abundant	adj
c1008	abut on	verb
c1009	abutment	noun
c1010	abyss	noun
c1011	academic	adj
c1012	academic	noun
c1013	academy	noun
c1014	acanthus	noun
c1015	accelerate	verb
c1016	acceleration	noun
c1017	accelerator	noun
c1018	accomplished	adj
c1019	accomplish	verb
c1020	accent	noun
c1021	accent	verb
c1022	accentuate	verb
c1023	access	noun
c1024	access	verb
c1025	acclaim	verb
c1026	accomplice	noun
c1027	accompany	verb
c1028	acclimatize	verb
c1029	acclimatization	noun
c1030	accompaniment	noun
c1031	accession	noun
c1032	accessory	adj
c1033	accessory	noun
c1034	affix	noun
c1035	affix	verb
c1036	greek	adj
c1037	greek	noun
c1038	lapidation	noun
c1039	wysiwyg	noun
c1040	ufo	noun
c1041	smiley	noun
c1042	accost	verb
c1043	accountability	noun
c1044	accountable	adj
c1045	accountancy	noun
c1046	accountant	noun
c1047	accredit	verb
c1048	accreditation	noun
c1049	accretion	noun
c1050	accrue	verb
c1051	accumulate	verb
c1052	accumulation	noun
c1053	accumulator	noun
c1054	accusation	noun
c1055	accusative	adj
c1056	accusative	noun
c1057	accustom	verb
c1058	anguilla	
c1059	netherlands antilles	
c1060	australia	
c1061	aruba	
c1062	bosnia and herzegovina	
c1063	barbados	
c1064	burkina faso	
c1065	benin	
c1066	brunei	
c1067	belarus	
c1068	vanuatu	
c1069	uzbekistan	
c1070	tuvalu	
c1071	burp	verb
c1072	turkmenistan	
c1073	curvaceous	adj
c1074	front organization	noun
c1075	leg up	noun
c1076	ace	noun
c1077	ace	verb
c1078	acerbity	noun
c1079	acetate	noun
c1080	acetylene	noun
c1081	ache	verb
c1082	ache	noun
c1083	achieve	verb
c1084	achilles	
c1085	achilles heel	noun
c1086	achromatism	noun
c1087	acidic	adj
c1088	acidification	noun
c1089	acidify	verb
c1090	acidosis	noun
c1091	initial public offering	noun
c1092	accomplishable	adj
c1093	poison	noun
c1094	quotation	noun
c1095	general	adj
c1096	general	noun
c1097	choir	noun
c1098	shuttle	noun
c1099	shuttle	verb
c1100	phoenix	noun
c1101	map	noun
c1102	map	verb
c1103	index	noun
c1104	index	verb
c1105	afghan	noun
c1106	afghan	adj
c1107	albanian	adj
c1108	albanian	noun
c1109	algerian	noun
c1110	algerian	adj
c1111	wales	
c1112	tokelau	
c1113	east timor	
c1114	tajikistan	
c1115	turks and caicos islands	
c1116	são tomé and príncipe	
c1117	suriname	
c1118	somalia	
c1119	sierra leone	
c1120	svalbard and jan mayen islands	
c1121	south korea	
c1122	north korea	
c1123	saudi arabia	
c1124	storm	noun
c1125	storm	verb
c1126	seychelles	
c1127	saint helena	
c1128	réunion	
c1129	palau	
c1130	niue	
c1131	martinique	
c1132	lesotho	
c1133	kyrgyzstan	
c1134	kazakhstan	
c1135	retrovirus	noun
c1136	genome	noun
c1137	gag	noun
c1138	gag	verb
c1139	indo-european	
c1140	indo-european	noun
c1141	indo-european	adj
c1142	money	noun
c1143	ask	verb
c1144	night	noun
c1145	army	noun
c1146	win	verb
c1147	win	noun
c1148	drink	verb
c1149	drink	noun
c1150	cow	verb
c1151	reminiscent	adj
c1152	congo	
c1153	british virgin islands	
c1154	central african republic	
c1155	cook islands	
c1156	costa rica	
c1157	croatia	
c1158	dominica	
c1159	eritrea	
c1160	fiji	
c1161	guadeloupe	
c1162	guinea	
c1163	guinea-bissau	
c1164	jordan	
c1165	moldova	
c1166	puerto rico	
c1167	myanmar	
c1168	burma	
c1169	western sahara	
c1170	baby	noun
c1171	jan mayen	
c1172	svalbard	
c1173	yes	
c1174	yes	noun
c1175	yes	verb
c1176	saint pierre and miquelon	
c1177	saint lucia	
c1178	new caledonia	
c1179	wallis and futuna	
c1180	samoa	
c1181	american samoa	
c1182	bermuda	
c1183	french guiana	
c1184	translationary	adj
c1185	skirmish	noun
c1186	skirmish	verb
c1187	lost with all hands	adj
c1188	stand	verb
c1189	stand	noun
c1190	mayotte	
c1191	montserrat	
c1192	guam	
c1193	grenada	
c1194	faroe islands	
c1195	falkland islands	
c1196	norfolk island	
c1197	saint kitts and nevis	
c1198	emoticon	noun
c1199	bunk	noun
c1200	bunk	adj
c1201	bunk	verb
c1202	it	noun
c1203	pronunciation	noun
c1204	derivative	adj
c1205	derivative	noun
c1206	abominable snowman	noun
c1207	yeti	noun
c1208	bigfoot	
c1209	bigfoot	noun
c1210	sasquatch	noun
c1211	radar	noun
c1212	icelandic	
c1213	icelandic	adj
c1214	yiddish	adj
c1215	dichlorodiphenyltrichloroethane	noun
c1216	ioc	adj
c1217	hiv	noun
c1218	macedonia	
c1219	saint vincent and the grenadines	
c1220	vatican city	
c1221	taiwan	
c1222	president	noun
c1223	security	noun
c1224	fuck	verb
c1225	fuck	noun
c1226	web browser	noun
c1227	thin	adj
c1228	thin	verb
c1229	ground	noun
c1230	ground	verb
c1231	ground	adj
c1232	data structure	noun
c1233	the grass is always greener on the other side	
c1234	dna	noun
c1235	close	verb
