# lang=nl
woordenboek	dictionary
persagentschap	news agency
agentschap	agency
rimpel	wrinkle
schildpad	tortoise, turtle; reptile of the order
schildpad	tortoise, cat, testudo
schildpad	testudo formation
schild	shield
schild	shell, carapace, cuttlebone or scale
schild	a protective balustrade behind and on both sides of the bowsprit
reptiel	reptile, any member of the class
Jezus	Jesus, Jesus of Nazareth
Jezus	Jesus
Mozes	Moses
slavernij	slavery
slavernij	oppression, submission, bondage
theoloog	theologian
schrijver	writer, author
schrijver	scribe, clerk
theologie	theology
omroep	broadcaster, an organisation providing radio and/or television broadcasts
omroep	broadcasting, the technical business of transmitting audiovisual content via radio or television
omroepen	to make an announcement by means of a public address system, to tannoy
omroepen	to broadcast
omroepen	to make a public announcement in a loud voice, usually by a town crier
aimabel	amiable
eigenzinnig	idiosyncratic
oog in oog	face to face
hoe oud ben je	how old are you?
hoe oud bent u	how old are you?
hoe gaat het met u	how are you?
baksteen	brick
vegetariër	a vegetarian
dichtbinden	to tie up, to close by tying shut
spreekt u Engels	do you speak English?
lasteren	to slander
praat	talk, talking
klagen	to complain
klagen	to sue
klagen	to lament, mourn
verfijnen	to refine
aanbieder	provider
heiligen	to hallow, to sanctify
heiligenbeeld	image of a saint
editie	edition
blinken	to shine, to glitter (reflect light)
barmhartig	merciful
barmhartig	charitable
verwijden	to widen
werkplek	workplace
tweetalig	bilingual
invoeren	to introduce
invoeren	to input, enter
invoeren	to import
voeren	to guide, lead
voeren	to wage
voeren	to bear a coat of arms
vragenlijst	questionnaire
wensen	to wish
eiken	oaken
plaatsen	to place
plaatsen	to qualify
aanpassen	to change, adjust
aanpassen	to adjust, adapt
aanpassen	to fit, try on
afmeting	dimension (size)
afmeting	the act or process of measuring
zorgeloos	carefree
onderhoud	maintenance
onderhoud	overhaul
onderhoud	audience (formal meeting)
onderhouden	to maintain
onderhouden	to submerge, keep under
waardering	appreciation
waardering	appraisal
meting	measurement
afhalen	to pick up, take away
afkorten	to shorten
afkorten	to abbreviate
afkorten	to abridge
afmeten	to measure off
landbouw	agriculture
landbouwer	farmer
bouwer	builder
zaag	female nagger, whiner
bureaula	desk drawer
kunstenaar	artist
scheikunde	chemistry
geneeskunde	medicine
beeldend	visual, "plastic", pictorial
eer	honour
eer	ere, before
eer	copper
aankijken	to look at, to look in the eye
achting	regard, esteem, estimation
vermogen	ability, power, capacity
vermogen	power
vermogen	fortune
enkelvoud	singular
vervoegen	to conjugate
vervoegen	to join
aanzien	to watch, to view
aanzien	to view as, to take for, to mistake for, to regard as
aanzien	(high) regard, prestige
aangezien	since, because, seeing as
geslacht	gender
geslacht	grammatical gender
eigenschap	property, feature, quality
nogal	rather, quite
-air	-ary; of or pertaining to
lieveling	favorite
lieveling	darling
krachtig	powerful, strong
krachtig	powerfully, forcefully, strongly
liefst	most preferably
verkrijgen	to obtain, gain, get
navolgen	to succeed, to come after, to follow (an example)
aanduiden	to indicate, to mark, to point out
aanduiden	to express, to put into words
duiden	to point to, refer to, suggest
duiden	to explain, clarify
waarbij	; whereby
voorop	on/at the front
voorop	first, foremost
voorop	on/at the front of
uitbeelding	portrayal
nagenoeg	almost, virtually, practically
vlak	flat, plane
vlak	a plain, a flat surface
vlak	a domain, sphere, field of interest
bazen	to babble, to talk nonsense
bedoeling	intention
overzicht	synopsis, outline
overzicht	survey, overview of the entire situation
eigenaar	owner
tennissen	to play tennis
sporten	to practice sports in general, to play a sport, to exercise
sporten	(all etymologies)
tennisser	tennis player
beroepsmatig	professional
sporter	one who plays a sport (habitually)
haram	haram, forbidden, not allowed
haram	in a way that is forbidden
opaline	opal glass
opaline	, made of opal glass
centiliter	centilitre
verschrikken	to frighten, startle (weak inflection; strong inflection proscribed)
verschrikken	to be frightened, to be startled (strong inflection)
verschrikking	horror
rommel	junk, low-quality stuff
rommel	mess, disorder
waardeloos	worthless
waard	an innkeeper, a publican
waard	a landlord, a host
waard	the master of the household; a husband
handelswaar	merchandise
handel	trade
handel	business, company
handel	shop, store
-lijk	-ly, -al, -ous
-lijk	-able
-schap	-ship
volwassen	adult, full-grown
geestelijk	mental, concerning the mind
geestelijk	spiritual
geestelijk	clerical
geest	ghost, spirit, immaterial being
geest	mind, mental consciousness
geest	mindset, mentality
raar	strange, odd, weird, unusual
volgroeid	full-grown, adult
kenmerk	characteristic
kenmerk	reference number
verkennen	to explore
achterkasteel	aftcastle; raised structure on the stern of a ship, covered by the poop deck
voorkasteel	forecastle
estheet	aesthete
gevoelig	sensitive
gevoelig	(with ) prone, predisposed, inclined (to usually undesirable quality)
hierheen	hither, towards here
pan	, especially for cooking
pan	cooking pot
recreant	someone who practices or enjoys recreation
princeps	; Roman emperor
heer	a lord; master
heer	a gentleman
heer	a cleric, notably a Catholic priest
positivo	a person with a positive mindset
daarheen	thither, to there
achtertuin	backyard
steunen	to support, keep up, back up, assist
steunen	to rest, be based or founded on
steunen	to moan, groan
uitgebreid	vast, spacious
uitgebreid	comprehensive, extensive
uitgebreid	copious
uitbreiden	to extend, to expand
uitbreiden	to escalate, to become more serious
ondersteuning	support
winkelwagen	shopping cart
kampanje	poop deck (e.g. of galleys)
achtereind	rear end
schepen	alderman
schepen	to embark, ship
schepen	to travel by ship
verblijven	to stay, to reside
enig	only, single
toenemen	to increase
ophogen	to raise, make higher
geblinddoekt	blindfolded
koek	cookie, cake, biscuit, wafer
koek	any type of cake or biscuit
koek	something doughy or sticky
pannenkoek	pancake; pannekoek; flapjack
pannenkoek	roti flatbread
pannenkoek	bungler, oaf
koekhappen	bite-the-cake; a game, especially for children, in which piece(s) of cake are hung from a rope, and the children, being blindfolded, attempt to bite the piece(s) of cake
concreet	concrete, not abstract
concreet	perceivable, real
tastbaar	tangible, palpable
enz.	; etc.
herinnering	a memory, something that one remembers
herinnering	the act of remembering
herinnering	a reminder, something that reminds one about something
wijken	to yield, make way
wijken	to recede
wijken	to disappear
afgang	the act of descending
afgang	the act of leaving the stage
afgang	the loss of face
terugtrekken	to withdraw, to pull back
terugtrekken	to pull back, to retreat
achteruitgaan	to decline, recede
uitgaan	to go out
uitgaan	to turn off, to shut down
uitgaan	to expire, to break up (of a relationship)
piepjong	very young
piep	a peep, a squeak
piep	squeak, peep
aanrander	assailant
aanranden	to assault sexually, to commit severe physical sexual violence against
aanranden	to assault
joggen	to jog
gewenst	wished for, desired
ongewenst	undesirable
elektronisch	electronic
-isch	-ic, -ian
fantastisch	fantastic, great
fantastisch	fantastic, imaginative
fantastisch	unreal, unrealistic, fantastical
trimmen	to work out, especially to jog
trimmen	to trim the hair of a dog or a horse
bijknippen	to trim (with scissors)
aanspreken	to address
aanspreken	to accost
aanspreken	to appeal to, to be appealing to
slachtoffer	victim
slachtoffer	sacrificial victim, usually an animal
slacht	slaughter
slachten	to slaughter
negeren	to ignore
negeren	to deny
negeren	to belittle, to torment, to treat like a flunky
hierop	subsequently, following this
achtervolgen	to pursue
achtervolging	pursuit
opmerking	remark, observation
opmerken	to remark, notice
daad	deed, act, action
ontstaan	to arise, to come into being
ontstaan	to elude, remain out of reach
beetpakken	to clutch
pakken	to grab, to take
pakken	to get, to fetch
pakken	to pack, to compact
trok	current of air, draft
voorwerp	a physical object
voorwerp	the object
wegvoeren	to carry away
bepaald lidwoord	definite article
onbepaald lidwoord	indefinite article
onbepaald	uncertain, indefinite
meewerkend voorwerp	indirect object
meewerken	to cooperate
aanduiding	indication, designation
genoemd	said, given
gewild	wanted, desired, popular
toestand	situation, condition
toestand	an unpleasant situation
toestand	state
situatie	situation, circumstance
verkeren	to find oneself (e.g. in a situation)
verkeren	to be found, be located
verkeren	to handle, get along with
handeling	act, action
handelen	to trade, do business
handelen	to act
handelen	to handle, to deal with or endure something or someone (particularly emotionally)
betasten	to feel, to grope
Indo	a person of partially native Indonesian and partially European descent
statie	train station
zicht	sight, view, vision
zicht	sickle
yoghurt	yogurt
zeis	scythe
omstandigheid	circumstance, condition
-tie	-tion
madrassa	madrasa
-loos	-less, without
-baar	-able
tinten	to tint
informeren	to inform, to give information
informeren	to inquire, to search or to ask for information
opsporen	to trace, identify
verrassend	surprising
verrassend	surprisingly
Albanese	an Albanian woman
cultus	cult, a particular tradition of worship or veneration of deities, ancestors, guardians or saints
cultus	religious service
ontzaglijk	enormous, immense, awe-inspiring
beestenbende	a complete mess
natie	nation
natie	guild
natie	early modern community of traders resident in a foreign city
vorst	the generic term for prince, monarch, ruler
vorst	a prince, rendering of tradition-specific title of certain ranks (all below King)
vorst	frost
glijden	to slide
glijden	to lapse
gedeelte	part, section
schuinen	to slant
schuin	slanted, slanting
schuin	obscene
schuin	diagonally
oppervlak	surface
opperen	to cock hay, form hay-cocks
opperen	to suggest
opperen	to bring stones, mortar etc. to the masons
wrijving	friction
wrijven	to rub
nauwelijks	hardly, barely
idioom	idiom, expression or a combination of words used in a language in a way which is typical for that particular language
tsaarschap	tsarship, czarship
tsaar	tsar, tzar, czar
voorspelling	forecast
voorspelling	prophecy
voorspellen	to predict, foresee, foretell, forespell
spellen	to spell
weersvoorspelling	weather forecast
weersvoorspelling	weather forecasting
verkeer	traffic
verkeer	intercourse, exchange, dealings
verkeer	verquere, a historical
verkeersinformatie	traffic information, traffic news, traffic updates, traffic report
gehoor	hearing (faculty)
gehoor	audience, listeners
Hemelvaart	Ascension Day
Hemelvaart	Christ’s ascension
hemelvaart	ascension to Heaven
schorsen	to suspend, delay (an event, proceeding) by inserting a pause
schorsen	to suspend, temporarily depose / remove from office or from membership or enrolment in an organisation
schorsen	to strip off bark
huiswerk	homework
ordelijk	neat, in order
fatsoenlijk	decent
kapiteel	capital
koer	garden, yard
koer	courtyard, yard
koer	schoolyard
oké	okay, correct, acceptable, satisfactory
wijze	manner, mode, way, method
wijze	melody
wijze	mood of speech
natuurijs	natural ice
getal	an expressed number
getal	the number, either singular or plural
haak	bracket (for enclosing text or mathematical symbols)
haak	shoal, sandbank
haken	to hook, to catch
haken	to crochet
haken	to long strongly for
afzonderen	to isolate
bekendmaken	to announce, to make known
bekendmaken	to denounce
skeeler	skate, in-line skate
skeeleren	to skate on in-line skates
bestuur	management
bestuur	governing board
bestuur	reign
besturen	to steer
besturen	to operate
besturen	to drive (e.g. a car or vehicle)
starten	to start, begin
