# lang=nl
woordenboek	dictionary
school	a , educational institution that provides education, whether combined with research or not
school	a thematic educational institute within a larger one, such as in a university for a single research field
school	any organisation providing instruction
buggy	a baby buggy, a pushchair, a stroller
buggy	, containing programming errors
au	ouch!
links	on the left
links	to the left
na	after
na	bar, except
na	close
si	musical note; ti
ar	angry, furious
ar	sorry, sad, regrettable
ar	sledge
pot	jar, , solid container
pot	cooking pot
pot	kitty or pool (where stakes, etc., are centralized)
samoerai	samurai
vacuüm	a vacuum
vacuüm	emptiness, meaninglessness
vacuüm	in or constituting a vacuum
pers	a press, mechanical device to exert pression
pers	the press, media
pers	a Persian cat (breed)
NW	; northwest
vat	barrel, tank
vat	vessel
vat	grip, both literal and figurative
pint	a glass of beer (usually 25 cl or 33cl, not an imperial pint)
la	drawer
po	chamber pot
pa	, dad
es	ash, ash tree
es	E-flat
foetus	fetus
decigram	decigramme
centigram	centigramme
parlement	parliament
parlement	conversation, talking, discussion, talk
parlement	meeting, assembly
pis	cheap beer
tri	synonym for trichloorethyleen, a chemical solvent
wan	winnowing basket
half	half before the next whole
half	the middle of that month
drie	three
vier	a sign for or representation of four
vier	the value four, e.g. as a score
zes	the lowest passing grade, on a scale from 10 (highest grade) to 1 (lowest grade); D−
zeven	seven
zeven	to sift, sieve, strain
acht	eight
acht	attention, heed
acht	banishment, ostracism
negen	a nine, an instance or representation of the digit nine
negen	a nine, an instance or use (e.g. score or amount) of the number nine
twaalf	twelve
dertien	thirteen
veertien	fourteen
vijftien	fifteen
zestien	sixteen
zeventien	seventeen
achttien	eighteen
negentien	nineteen
twintig	twenty
info	, information
informatie	information
decagram	decagramme
mus	sparrow, bird of the family , especially of the genus Passer and a few smaller genera
zebrapad	a zebra crossing, a crosswalk
orgaan	organ (part of an organism)
orgaan	mouthpiece, a spokesperson or medium aligned with an organisation
orgaan	public body, a public board, an organisation
insect	, arthropod of the class
pik	penis
pik	a down, prejudiced attitude against someone who is thus 'picked on', especially from a position of authority
pik	mate, bro
tool	a , aid, instrument, auxiliary device
omega	(Greek letter)
lief	nice, sweet, lovely
lief	beloved, dear
lief	one's beloved in a romantic relationship, i.e. a boyfriend or girlfriend
der	there
der	; of the
das	A badger, various species of genera Meles and .
das	Eurasian badger ()
das	necktie
Dijle	Dyle (River flowing through Belgium)
hallo	hello (a general greeting used when meeting somebody)
onus	burden
intelligent	, bright, smart
onthaalpagina	page for receiving visitors
onthaalpagina	main page
manifest	; obvious, undeniable
echt	authentic, true, genuine, real
echt	really
echt	the institution or bond of marriage; matrimony
fork	a fork, splitting-up of an existing process into itself and a child process executing parts of the same program
circuit	racetrack
circuit	electric
circuit	exclusive group of individuals, clique, circle
lever	liver
lever	edible animal liver as a dish or culinary ingredient
kloot	sphere, ball
kloot	testicle
kerosine	kerosene
halal	allowed, in keeping with Islamic principles
halal	done in keeping with Islamic principles
gras	grass
pop	cocoon, pupa
evangelist	an , an author of one of the gospels
evangelist	a Christian missionary
evangelist	a preacher in an evangelical church
protestant	Protestant (a modern Christian denomination not belonging to the Catholic or Orthodox traditions)
crash	, collision, esp. when involving aircraft
crash	economic crash, especially in relation to stock exchanges
crash	computer crash
cash	in coins and bills/notes
lunch	a , a meal eaten around noon
college	a collegial board, either advisory (committee) or as an authority
college	a secondary school, a high school, especially in Roman Catholic education
college	an academic lecture, class
net	television channel
sloop	pillowcase, pillowslip
sloop	demolition
mast	, fodder for pigs or other animals made up of acorns and beechnuts
switch	switch
protagonist	, main character
ons	ourselves
bang	scared, frightened
bang	fearful
bang	anxious
mate	degree, extent
belt	a heap, hill
belt	a dumpsite, notably for waste products
belt	(clothing) A
rust	rest, calm, peace
rust	half-time
transcendent	transcendental, not algebraic
mies	unwell
mies	scared
acetyleen	acetylene
fruitcake	a , cake flavored with fruit
constant	, invariable
constant	constant, continuous, unceasing
vector	, an element of a vector space<!--
bar	a , counter, drink cabinet
bar	a , pub serving alcohol
bar	harsh, tough
sail	the fin or of a submarine
union	a trade union
legen	to empty
import	geographical
import	a person or people who is/are not native to a city, village or region, but moved there from outside
pat	tie, draw, stalemate
pat	the slot in the frame that accepts the axle of the wheel; dropout
koper	copper
koper	buyer
tau	(Greek letter)
nihil	nothing
vent	chap, fellow
fan	(admirer)
terp	artificial mound or hillock used as shelter during high tide
papier	paper (A material used for writing or printing on, made from cellulose pulp rolled into thin sheets.)
papier	a piece of paper
papier	money (cf. slang sense of paper)
papyrus	the plant
papyrus	the paper-like material made from the papyrus plant
papyrus	a scroll made of that material
serpent	snake
serpent	, serpentine dragon, large snake
serpent	an unpleasant, spiteful or foulmouthed person, especially used of women
hockey	, almost always field hockey
Nepalese	Nepali (female from Nepal)
Telugu	; a Dravidian language of India
Telugu	a ; a member of the people who speak the Telugu language
wat	what: e.g. (1) asking for a subject complement; (2) asking for a sentence object
wat	what: e.g. (1) as the object of a sentence; (2) ditto
