# lang=pt
bit	b
guapê	baga-de-freira
guapê	azeitona-preta
guapê	brinco-de-viúva
guapê	jalão
guapê	manjelão
guapê	jambolão
lanterninha	lanternazinha
lanterninha	lanterna
lanterninha	lanterna-vermelha
lanterninha	último
lanterninha	colocado
lanterninha	arrumador
lanterninha	vaga-lume
adjacências	vizinhança
adjacências	arredores
adjacências	cercanias
com certeza	absolutamente
com certeza	sem dúvida
drapejar	tremular
mastro grande	grande
nem pensar	de nenhuma maneira
carpir	chorar
carpir	lamentar
aposturas	amurada
manjerico	basílico
manjerico	manjericão-dos-jardins
manjerico	manjericão-menor
desatinar	disparatar
desatinar	tresvariar
intumescer	inchar
intumescer	inchar
intumescer	orgulhar
báratro	abismo
báratro	precipício
báratro	despenhadeiro
escorregar no quiabo	dar ré no quibe
das antigas	antiquado
das antigas	antigo
protoeslavo	eslavónico
protoeslavo	eslavônico
pera aí	pera
calma aí	calma lá
calma lá	calma aí
vamos lá	vamos
vamos lá	vambora
sertanejo	rural
sertanejo	campestre
sertanejo	interiorano
sertanejo	campesino
enfatuamento	enfatuação
férvido	pelando
férvido	fervoroso
férvido	fervente
férvido	fervoroso
nomádico	nómada
nomádico	nômade
porta-fólio	portefólio
porta-fólio	portfólio
bilro	fuso
bilro	renda
enramalhetar	decorar
enramalhetar	adornar
entulhado	atulhado
entulhado	entupido
entulhado	abarrotado
entulhado	lotado
entulhado	cheio
entulhado	cheio
entulhado	armazenado
embasamento	fundação
embasamento	fundação
embasamento	base
portuguesismo	lusismo
portuguesismo	lusitanismo
passagem só de ida	bilhete só de ida
passagem só de ida	bilhete sem volta
passagem só de ida	passagem sem volta
passagem só de ida	passagem sem retorno
cagarro	mariense
mourisma	mourama
mais de	acima de
jogar luz	lançar luz
um bocado	bem
um bocado	bastante
delgadeza	finura
delgadeza	fineza
delgadeza	magreza
bola de feno	salsola
nescidade	estupidez
aguadeiro	açacal
aguadeiro	aguador
capeta	Thesaurus:Satã
capeta	demónio
meter o pau	descer o cacete
meter o pau	descer a lenha
estrangeirismo	xenismo
estrangeirismo	peregrinismo
estrangeirismo	estrangeirice
esfuziar	soprar
esfuziar	sibilar
ensino fundamental	primeiro grau
capiroto	Thesaurus:Satã
capiroto	capeta
Vossa Excelência	V.Exa
Vossa Excelência	V. Ex.ª
normalidade	regularidade
sútil	costurado
meão	mediano
meão	médio
exabit	Eb
exabit	Ebit
zettabit	Zbit
zettabit	Zb
maciota	maciez
maciota	macieza
paspalho	paspalhão
cortina de fumo	cortina de fumaça
futricagem	futricada
desvencilhar	desenvencilhar
desvencilhar	desenvincilhar
descer o cacete	descer a lenha
descer o cacete	meter o pau
descer a lenha	descer o cacete
descer a lenha	meter o pau
doceria	pastelaria
doceria	confeitaria
doceria	doçaria
imóbil	imóvel
joão-fernandes	Thesaurus:zé-ninguém
lusismo	lusitanismo
lusismo	portuguesismo
ao frigir dos ovos	no fim das contas
lusitanismo	lusismo
lusitanismo	portuguesismo
acabar em pizza	terminar em pizza
piromaníaco	pirómano
piromaníaco	pirômano
o bicho vai pegar	a jiripoca vai piar
quilhado	tramado
quilhado	lixado
quilhado	fodido
niúngue	nhúngue
noturnal	noturno
amasiar	amancebar
Carquive	Carcóvia
aguaí	abio
aguaí	aranhão
aquaplanagem	hidroplanagem
aquaplanagem	amaragem
aquaplanagem	amerissagem
amerissagem	amaragem
hidroplanagem	aquaplanagem
hidroplanagem	amaragem
hidroplanagem	amerissagem
barba-de-velho	barba-de-pau
Gugu	Guga
enviesar	aviesar
desavir	desamigar
desavir	desamistar
desavir	discordar
desavir	incompatibilizar
desavir	indispor
desavir	inimizar
desavir	zangar
pitança	pitéu
pitança	petisco
pitança	guloseima
pitança	acepipe
apascentar	apascoar
apascentar	conduzir
apascentar	criar
apascentar	deleitar
apascentar	doutrinar
apascentar	ensinar
apascentar	entreter
apascentar	guiar
apascentar	instruir
apascentar	manter
apascentar	nutrir
apascentar	pascentar
apascentar	pascer
apascentar	pastar
apascentar	pastorar
apascentar	pastorear
apascentar	recrear
apascentar	sustentar
podofilia	podolatria
negrinho	negrito
negrinho	negrito
sapo-cururu	sapo-boi
liça	lice
estar-se nas tintas	estar-se a cagar
estar-se nas tintas	estar-se cagando
estar-se nas tintas	estar-se a lixar
estar-se nas tintas	estar-se lixando
estar-se nas tintas	estar-se a foder
estar-se nas tintas	estar-se fodendo
estar-se a cagar	estar-se nas tintas
estar-se a cagar	estar-se cagando
estar-se a cagar	estar-se a lixar
estar-se a cagar	estar-se lixando
estar-se a cagar	estar-se a foder
estar-se a cagar	estar-se fodendo
podolatria	podofilia
pai-nosso	padre-nosso
doideira	loucura
doideira	maluquice
doideira	doidice
mourar	mourizar
pudente	pudico
pudente	pudibundo
pudente	pudoroso
pudente	recatado
et caterva	e companhia
et caterva	e comparsas
et caterva	e corja
amendoeira-da-praia	castanheira
amendoeira-da-praia	sete-copas
amendoeira-da-praia	caroceiro
amendoeira-da-praia	árvore-de-anoz
amendoeira-da-praia	castanholeira
amendoeira-da-praia	guarda-sol
amendoeira-da-praia	chapéu-de-sol
dinossauro não aviano	dinossauro
não valer o que come	não valer o pão que come
não valer o que come	não valer o prato que come
desligamento	desligadura
Elagábalo	Heliogábalo
aconteça o que acontecer	haja o que houver
