# lang=en
free	unfree
run	rise
seen	unseen
sell	buy
empirical	nonempirical
euphoria	dysphoria
euphoria	bad trip
gregarious	ungregarious
gregarious	nongregarious
increment	Thesaurus:decrement
increment	decrement
procrastination	precrastination
sedentary	migratory
sedentary	active
sedentary	active
spurious	representative
spurious	genuine
disdain	adoration
disdain	admiration
disdain	honor
disdain	respect
disdain	reverence
interest	bore
interest	disinterest
show	hide
show	conceal
show	cover up
show	disprove
show	refute
spoken	unspoken
spoilt	edible
spoilt	eatable
spoilt	good
spoilt	unspoilt
spoilt	fresh
spoilt	unspoilt
sprung	unsprung
tell	ask
tread	rise
tread	riser
understand	misunderstand
undo	redo
undo	button
undo	tie up
undo	button up
undo	zip
undo	zip up
undo	do up
incorporate	corporate
incorporate	corporeal
ipse dixit	argumentum ad hominem
ipse dixit	ad hominem
round	fillet
competition	cooperation
bitter	optimistic
bottle	cowardice
by	principal
by	main
box	unbox
box	uncase
box	unpack
analysis	synthesis
benefit	hindrance
benefit	encumbrance
benefit	detriment
benefit	disadvantage
benefit	nuisance
benefit	obstacle
benefit	harm
benefit	malefit
balance	unbalance
balance	imbalance
balance	nonequilibrium
balance	favour
balance	prejudice
balance	bias
balance	partiality
balance	favor
balance	partisanship
balance	unfairness
certain	uncertain
certain	incidental
certain	impossible
certain	particular
certain	specific
brake	floor it
brake	redline
brake	put the pedal to the metal
brake	accelerate
clean	dirty
clean	unclean
base	acid
base	apex
control	rebel
control	resist
control	defy
control	obey
control	submit
southern	northern
southern	boreal
southern	septentrional
sophistication	provincialism
decline	incline
dry	wet
dry	wet
dry	wet
differ	match
deep	shallow
deep	shallow
deep	frivolous
deep	light
deep	superficial
deep	shallow
deep	shallow
deep	thin
deep	shallow
deep	small
deep	high
deep	piping
deep	high-pitched
deep	desaturated
deep	pale
deep	light
deep	washed-out
deep	light
end	beginning
end	start
flat	cratered
flat	bumpy
flat	hilly
flat	wrinkled
flat	rough
flat	sharp
flat	sharp
power	impotence
power	weakness
Christian	atheist
Christian	agnostic
Christian	heathen
Christian	non-Christian
Christian	pagan
Christian	improper
Christian	corrupt
Christian	unjust
Christian	immoral
Christian	savage
Christian	sinful
dead	alive
dead	live
dead	living
long	shallow
long	short
long	low
long	short
long	brief
shallow	deep
narrow	wide
narrow	broad
wide	narrow
wide	thin
wide	skinny
high	low
broad	thin
broad	narrow
broad	skinny
broad	Thesaurus:comprehensive
broad	all-encompassing
broad	slender
living	dead
living	nonliving
life	death
life	coma
life	void
liquid	gaseous
liquid	solid
liquid	illiquid
liquid	illiquid
knowledge	ignorance
important	negligible
important	ignorable
important	petty
important	slight
important	unimportant
metal	nonmetal
salt	desalt
heavy	light
far	near
far	close
far	Thesaurus:near
near	Thesaurus:distant
near	off
sharp	blunt
sharp	dull
sharp	thick
sharp	dim-witted
sharp	slow-witted
sharp	slow
sharp	dim
sharp	blunt
sharp	flat
sharp	flat
sharp	insipid
sharp	tasteless
sharp	bland
sharp	dull
sharp	legit
sharp	reputable
sharp	legitimate
sharp	honest
sharp	above-board
sharp	inaccurate
sharp	imprecise
sharp	complimentary
sharp	kind
sharp	flattering
sharp	friendly
sharp	nice
sharp	shabby
sharp	scruffy
sharp	inelegant
sharp	unobservant
old	brand new
old	new
old	neo-
old	ceno-
old	fresh
old	young
old	latest
old	current
old	new
smooth	rough
smooth	uneven
smooth	bumpy
live	dead
live	blank
live	dummy
live	dead
live	neutral
live	prerecorded
live	recorded
