# lang=ca
gratis	free, for free
macer	mace-bearer
marc	frame
marc	framework, setting
marc	marco, Spanish mark,
mica	a bit, a small piece
mig	middle; mid-
moll	moist, wet
moll	marrow, as in bone marrow
mort	death
mort	a difficult problem one must face
mort	mooring block
nan	dwarf
nan	dwarf
nan	dwarf
pas	pace, step
pas	paso, Spanish pace,
pas	pace, action
prim	thin, skinny
punter	pointer
punter	pointer
punter	pointed
rebut	receipt
ret	hairnet
rimer	stack, heap
salina	salt pan
sou	salary, wage
tapa	lid, top, cover
tapa	cover
tapa	heelplate
volta	turn, spin
volta	vault
Zaire	A province of Angola, named after the river
arrest	stopping; stopping place
calibre	caliber
dominant	, ruling
extra	of the highest quality
extra	, walk-on
fatal	fatal
flirt	flirtation
flirt	a person with whom one has a flirtation
foment	promotion, fostering, fomentation
corpulent	well-built, burly, stout, solid
mall	hammer
marge	margin, edge, border
marge	a riverbank, especially when lined with trees; a border planting
marge	margin
martinet	heron
node	, nodule
predecessor	preceding
rave	radish
rave	trifle
sard	Sardinian
server	serviceberry,
suite	suite
suite	suite
tint	dyeing
tint	dye(stuff)
tint	dyeworks
valor	value; worth
clam	clamor
funda	cover, sheath
mai	never
argent	silver
argent	money, cash
auricular	hearing;
auricular	auricle;
clip	paper clip
clip	hairclip
honor	honour
pec	stupid
vietnamita	Vietnamese
vietnamita	Vietnamese person
vietnamita	Vietnamese language
bac	ferry
retractable	thermoretractable
sepultura	burial
sepultura	grave
tip	full, as in sated or satisfied (including to excess)
tip	excess (of food or drink)
temps	weather
japonès	Japanese
japonès	Japanese
japonès	Japanese
vau	used to form periphrastic past
mem	internet meme
organisme	organism
sia	whether it be; be it
karaoke	karaoke
karaoke	karaoke machine
karaoke	karaoke bar
gas natural	natural gas
quim	chyme
borra	fluff, waste fibers
gat	A catshark, especially the small-spotted catshark.
onda	wave; undulation
però	however
però	however
novembre	November
borsa	stock exchange
mec	hairless ; beardless
mec	foolish
mec	beardless man
ferradura	horseshoe
hoc	yes (affirmation; commonly used to respond affirmatively to a question)
hoc	indeed
gamba	shank
gamba	shrimp
sala	a large room
sala	living room
qui	who, whom
qui	whoever
ametista	amethyst
xeric	shriek, scream
firma	signature
firma	signature, signing
rebel	rebellious
rebel	persistent, stubborn
tranquil	, calm
tranquil	, calm
fel	gall, bile
fel	misery
fel	rancor
melodia	melody
cana	unit of length of eight ; ~1.60m
reina	queen
reina	queen
reina	darling
adolescent	teenager
director	guiding, regulating, directing
director	conductor
veritable	real; true;
p. ex.	; e.g.
immund	filthy
immund	unclean, impure
tromba	whirlwind, waterspout
tromba	tornado
trombe	thrombus
causa	cause
causa	lawsuit
variant	varying
entrar	to enter
fi	finish; the end
fi	fine, thin
fi	soft, smooth
cordial	invigorating
cordial	tonic
coco	coconut
evident	obvious;
argó	argon
androgen	, causing the appearance of male sexual characteristics.
repel	a hair out of place
repel	hangnail
inventor	inventive
persona	person
incentivar	to incentivize
viola	violist
post	board, plank
post	shelf
poll	chicken
poll	louse
poll	poplar
aroma	needle bush flower
abril	April
abril	spring
abril	youth
improbable	, unlikely
fort	strong
fort	strong
fort	strong
posterior	subsequent
zoologia	zoology
particular	private
particular	individual
oriental	eastern
itinerant	, travelling
horror	, disgust
horror	terror
horror	person or thing inspiring the above feelings
rector	ruling
rector	guiding, regulating, directing
familiar	familial
familiar	family-friendly
ora	breeze
ora	calm weather
abreviatura	abbreviation
frontal	frontal bone
dorsal	backplate
dip	A black vampiric hellhound associated with the town of Pratdip in the Camp de Tarragona.
basta	stop, enough
basta	tack, basting stitch
telefonia	telephony
dalla	scythe
