# lang=ca
gratis	free, for free
rodonesa	roundness
posteritat	posterity
infelicitat	unhappiness
sonoritat	sonority
magnanimitat	magnanimity
magnànim	magnanimous
magnànimament	magnanimously
esborrador	eraser
cirerer bord	bird cherry
bolic	bundle
indiot	turkeycock
titot	turkeycock
tofenc	spongy
tofut	bushy
estofat	estofado
cap a	toward, towards
flonjo	soft and spongy
heliogràfic	heliographic
congoixa	anguish
tènia	tapeworm
mainader	a member of a group of armed men in the service of a lord
mainader	babysitter
vimetera	osier ()
vímet	osier, wicker
os de la música	funny bone
desuetud	disuse; desuetude
de cop i volta	suddenly, all of a sudden
màquia	maquis
ullat	having eyes, eyed
ullat	having holes, porous
encenall	a swarf from planing; a wood shaving
encenall	a type of pastry, usually covered in chocolate, in the form of a ring or curl
morralet	the squid
sípia	cuttlefish
sípia	a glob of spit
escopinada	a glob of spittle
bergant	a member of a bergada (a gang of labourers)
bergant	youth, boy
bergant	rascal, rogue
escaguitxar	to splash, to spatter
escaguitxar	to cough up, to fork out
escaguitxar	to unravel, to fray
ensulsiar	to demolish
ensulsiar	to crumble, to collapse
esquitxó	a child who is small for their age; a runt, a squirt
esfondrament	collapse
sargàs	sargasso
histèric	hysterical
trèmol	aspen
tremolor	trembling, quaking
tremolejar	to quiver
enze	live decoy
enze	fool, dolt
cimbell	decoy
guantellet	gauntlet
reclam	bird call
reclam	decoy bird
reclam	advertisement, slogan
címbal	cimbal
címbal	cimbalom
plateret	cimbal
succedani	substitute, ersatz
succedani	substitute
enterc	stiff, rigid, taut
enterc	stubborn
serpentí	snake; snakelike, colubrine
serpentí	serpentine, sinuous
serpentí	a coil, especially the condensor coil of a refrigeration device
aventurina	aventurine
i tal	and so on, etc.
esquitx	squirt, splash
esquitx	smidgen
gustosament	willingly
rònec	without accompaniment, by itself, bare
rònec	abandoned, barren, rundown, sleazy
broix	unaccompanied, alone
intrús	intrusive
intrús	intruder
intrusiu	intrusive
pòlip	polyp
malastre	misfortune, disaster
estrafer	to imitate
estrafer	to disguise
contrafer	to counterfeit, to forge
contrafer	to imitate, to copy
contrafaedor	forger, counterfeiter
contrafet	counterfeit, forged
contrafet	deformed
esgüell	squeal, squeak
esgüellar	to squeal, to squeak
degotejar	to drip, to trickle
més content que un gínjol	happy as a clam, very happy
menudall	rubble
menudall	diaper, nappy
menudalla	a collection of small things; odds and ends
menudalla	children
pollí	foal, colt
pollinar	to foal
fressejar	to rustle, to murmur
fressejar	to bustle about
neteja ètnica	ethnic cleansing
netejavidres	window cleaner, window washer
netejament	cleansing
ballestrinca	clove hitch
extenuació	extenuation
cruixidera	rustling
banda simfònica	concert band
xaranga	brass band
jactància	boasting, bragging
fanfàrria	boastful
fanfàrria	braggart, boaster
fanfàrria	boastfulness, braggadocio
fanfarró	boastful
fanfarró	boaster, braggart
fanfarroneria	boastfulness
fanfarroneria	boasting
papissotejar	to lisp
papissot	speaking with a lisp
papissot	with a lisp
capcot	downcast
balç	precipice
pletòric	plethoric, overabundant
encaterinar	to enchant
encapritxar	to cause to fall in love
encapritxar	to fall in love with
quequesa	stutter, stuttering
indigenisme	a word or expression from an indigenous language which has been borrowed into the language of a colonising population
indigenisme	indigenismo
descomunalment	extraordinarily
descominal	extraordinary
salmorra	brine
salmorrar	to brine
salmorro	brine
salmorreta	a sauce from Alacant made from a of tomatoes, garlic, olive oil, red peppers, and parsley
sofregit	a mixture of diced vegetables (usually tomatoes and garlic or onions) slow-cooked in olive oil and used as a base for various sauces
sofregir	to pan-fry over low heat
fora que	unless
campi qui pugui	every man for himself
engolidor	whirlpool
gerret	a picarel, especially the Mediterranean food fish
xuclador	whirlpool
xuclador	waterspout
xuclador	haustorium
esquellada	yellow rattle ()
esquellada	act of belling
esquellada	ringing of cowbells
vellutet	a type of velvet with a very short pile
natjar	to spank
natjada	a spank, a blow on the buttocks
patracol	a long text or document
patracol	red tape, paperwork
patracol	tangle, confusion
paperassa	a mass of documents, especially those required by bureaucratic authorities; paperwork, bumfodder
patracols	bumfodder
protocol·lari	protocol; protocollary
protocol·lari	strictly adhering to protocol
simultaneïtat	simultaneity
sorrera	sandpit
sorrera	sandbox
sorrejar	to sandblast
sorrejar	to sand
sorrejadora	sandblaster
sorramoll	quicksand
cadiral	armchair
cadiral	sluice gate
fredeluca	the northern lapwing
politja	pulley
oliu	olive tree
oliu	olive wood
enclova	French honeysuckle ()
alquequengi	bladder cherry
lleterola	sun spurge
lleterola	weeping milk cap
lletera	milk churn
lleter	milk, dairy
lleter	milkman
lleteresa	spurge
aerolínia	airline
refinadament	with refinement
mantí	the handle of a plough or other agricultural implements, such as a scythe, spading fork, etc.
esmòquing	dinner jacket, tuxedo
palafanga	spade
forcó	prong
introspecció	introspection
creuera	crosshead
creuera	crosswort
forcadura	fork, crotch
forcar	to split
forcar	to fork, to diverge
neulir	to wither, to shrivel
emboirar	to fog
emboirar	to cloud, to make foggy, to confuse
emboirar	to get foggy, to fog over
rebentapisos	burglar
espanyaportes	burglar
espanyar	to break open (a door)
païdor	stomach
ventrell	stomach, belly
ventrera	girdle
ventrera	girth
xerrera	the desire to talk, feeling like chatting
pixera	the desire or the urge to piss
esternudera	the desire to sneeze
esternudera	mountain tobacco
carraspic	candytuft
rododendre	rhododendron
beneitó	simple, naïve, foolish
beneitó	simpleton, naïf, fool
beneitó	sucker, chump
tremolós	tremulous, shaky
tremolosa	torpedo
tremolosa	poplar grove
torracollons	pain in the arse, ballache
passamà	handrail
ràpel	abseil
ràpel	rebate, discount
ràpel	overriding commission
emprenyador	annoying, irritating
emprenyador	an annoying or irritating person
teular	to tile
teular	to roof
tarró	meadow clary ()
reposacaps	headrest
reposabraços	armrest
clariana	space, clearing, opening
anfós	grouper
saltironar	to hop, to skip
botejar	to bound, to spring, to skip
escorçar	to sketch
escorçar	to debark, to peel, to skin
polpeta	paupiette, roulade
polpar	to pulp
pilotejar	to kick a ball about without playing a formal game
mosquetó	musketoon
mosquetó	carabiner
mosquet	musket
mosqueter	musketeer
sàbat	Sabbath
sàbat	sabbat
sabatí	Saturday; Sabbath
sabàtic	Saturday, Sabbath
sabàtic	sabbatical
desenllaçar	to untie
malví	marsh mallow
befar	to jeer, to taunt
beduí	bedouin
beduí	bedouin
bromèlia	bromeliad
esparreguera	asparagus
esparrall	a skinny person
pintaungles	nail polish
cascall	opium poppy
buixol	wood anemone ()
escarit	bare, naked
escarit	bare, unadorned
cartipàs	exercise book
cartipàs	portfolio
camàlic	porter
bastaix	porter
codicil·lar	codicil; codicillary
codicil·lar	to make a codicil
taujà	rustic
taujà	yokel
pagesívol	rustic, rural
-ívol	-y, -ic;
-ívol	-ible, -able;
albeca	sapwood
albenc	sapwood
albenc	sapwood
durícia	corn, callus
circadiari	circadian
efluir	to emanate, to flow out
bonir	to drone, buzz, hum
bonir	to growl, grunt
palomida	leerfish ()
palomida	pompano
pàmpol	vine leaf
pàmpol	lampshade
pàmpol	pilot fish
tallagespa	lawnmower
tallahams	bluefish
espiadimonis	dragonfly
escorpí d'aigua	water scorpion
damisel·la	damsel
damisel·la	damselfly
rondinejar	to murmur
relleix	ledge
relleix	shelf
relleix	remainder
colzada	a jab with the elbow
colzada	a sharp bend, a dogleg
colzada	a cubit
caducitat	caducity
caducitat	sell-by date
caducitat	expiry date, expiration
posar al dia	to bring up-to-date
posar al dia	to update
al dia	up-to-date
desmai	faint, fainting, blackout
desmai	weeping willow, a willow with very pendulous twigs, of cultivars or hybrids of
ploraner	weepy, blubbery
ploraner	a hired mourner
ploranera	mullein
blenera	spout, nozzle ; burner ; floater
blenera	mullein
blenera	, a species of
maçola	a type of mallet with a wide head and a short handle
mallol	a young grapevine
mal·lèol	malleolus
picapedrer	stonemason, stonecutter
picapedrer	bricklayer
picapedrell	a children's game in which a ring is secretly passed from hand to hand until a signal is given to begin guessing and then one player has to guess which of the other players has it
picapedra	stonecutter
ral de vuit	piece of eight
ardit	bold, daring
ardit	impudent
ardit	ruse, stratagem
atandar	to assign a turn to
atandar	to take one's turn
prec	plea, request
itsekiri	Itsekiri
itsekiri	Itsekiri language
fogoner	stoker, fireman
fogonejar	to singe, scorch
algutzir	governor, sheriff
algutzir	bailiff, constable
hivernenc	winter
hivernenc	sensitive to winter cold
roure martinenc	downy oak ()
martinenc	Pertaining to Sant Martí
martinenc	Pertaining to Saint Martin or his feast day
martinenca	a variety of fig cultivated mainly in the Balearic Islands which ripens in early November
mestretites	know-it-all
hivernar	to winter, to overwinter
hibernació	hibernation
entaular	to set up, to start
entaular	to initiate
entaular	to file , to bring , etc.
entaulat	banquet
entaulat	planking, floorboards
entaulat	stage
cadafal	platform, stage
cadafal	burial mound
ombratge	a shady spot
mesopotami	Mesopotamian
babiloni	Babylonian
babiloni	Babylonian
babiloni	Babylonian
babilònic	Babylonian
babilònic	luxurious, pompous
fastuós	ostentatious, luxurious, lavish
cinegètic	hunting
cinegètica	hunting
cinegètica	a hunting expedition
caçamines	minesweeper
caçapapallones	butterfly net
mosquiter	leaf warbler
salmonat	salmon-coloured
salicària	purple loosestrife
alquena	henna
alquena	henna
alamànic	Alemannic
alamànic	Alemannic
nyigui-nyogui	flimsy, likely to bend or break
pescaclics	clickbait
protozou	protozoan
pel·liculer	film, cinema; filmic, cinematic, dramatic
regalèssia	licorice
colofònia	rosin
aranzel	tariff, duty
aranzel	tariff schedule
conrar	to cultivate
conró	cultivation
conradís	cultivable, arable
conradís	a cultivable field
bastigi	frame, framework
penyista	supporter, fan
topants	places, parts
verals	vicinity, environs
topall	buffer
topall	doorstop
raconera	a corner piece of furniture, such as a triangular corner table or corner cabinet
raconer	corner
raconada	corner
depuració	purification
depuració	debugging
depuració	purge
reganyar	to bare
reganyar	to grumble, to complain
esbrossar	to clear
esbrossar	to clear
brosta	sprout, shoot
brosta	Shoots, twigs, small branches, etc.
brosta	foliage
botaló	jibboom
botafoc	linstock
botafoc	troublemaker
peveter	censer
pevet	censer
pevet	pastille
agràs	an unripe grape
agràs	verjuice
agrassot	a grape which fails to ripen
agrassó	gooseberry
agrassó	gooseberry
riber	a plant of the genus ; a currant or gooseberry plant
peònia	peony
crespinell	stonecrop
consolva	common houseleek
liquidàmbar	sweetgum
llapó	a mat-like growth of algae, mosses, lichens, etc. which thrives underwater or in areas of high humidity
llapó	any of various aquatic plants with a tendency to form such mats
giragonsar	to wind, to twist and turn
botavant	boathook, gaff
botavant	hoof knife
busca-raons	argumentative
busca-raons	quarreler, troublemaker
guàrdia civil	one of two national police forces of contemporary Spain
guàrdia civil	a member of the Civil Guard of Spain
guàrdia civil	a preserved sardine
enquadernador	bookbinder
enquadernació	binding, bookbinding
xaira	honing steel
xerrotejar	to babble
xerrotejar	to chirp
carrisquejar	to grate, creak, squeak
carrisquejar	to chirp, to sing
guardacaps	thimble
guarderia	nursery school, creche
guardaespatlles	bodyguard
guardaespatlles	shawl
enraonadissa	a discussion with multiple participants
esmolador	sharpening
esmolador	sharpener
pedra esmoladora	whetstone
estimball	a height, a precipice
enginyar	to invent, to devise
enginyar	to find a way (to), to manage (to)
esgarrifança	shiver, chill
esgarrifor	fright, terror
esgarrifor	goose flesh, goose bumps
escàlem	thole
escalamera	oarlock, rowlock
vinyeta	vignette
vinyeta	vignette
rebufar	to blow hard
rebufar	to blister
rebuf	rebuff, rebuke
rebuf	slipstream
bufec	puff, pant, snort
bòfega	blister
bòfia	blister
bòfia	sinkhole
gibrell	basin
sedassar	to sieve, to sift
sedenc	silken, silky
areny	a sandy place, such as a sandbank, a sand dune, a sandy beach, etc.
astor	the northern goshawk
astor	buzzard
jonquet	spikerush
jonquera	a bed or stand of rushes
crestall	ridge
crestall	ridgeline
crestall	crest
jonca	reed, rush
jonquillo	paperwhite narcissus
allassa vermella	rosy garlic ()
vitrac	European stonechat ()
papamosques	flycatcher
vaivé	a back-and-forth movement, a rocking, swaying
vaivé	a change of fortune, a vicissitude
vaiver	back-and-forth, wandering
vaiverejar	to go back and forth, to wander, to pace side-to-side, etc.
prestatari	borrower
villancet	villancico
villancet	Christmas carol
rondallaire	storyteller
com a	as a, in capacity of
com a	as, as it were
despropòsit	absurdity, piece of nonsense
manllevador	borrower
manlleuta	pledge, guarantee
fermar	to tie, fasten
fermar	to tether
fermar	to confirm, ratify
canyaferla	giant fennel
fermança	surety, guaranty
fèl·lera	giant fennel
fenoll	fennel
estotjar	to keep ; to box up, to put away
estotjar	to encase, to contain, to harbour
perfet	perfect
perfet	perfect tense
megafonia	public address system, PA system, PA, tannoy
civera	stretcher
caputxina	garden nasturtium, Indian cress ()
caputxino	cappuccino
mona aranya	spider monkey
aluata	howler monkey
verderol	European greenfinch, a bird of species
verderol	yellow knight, a fungus of species
verderola	yellowhammer
hortolà groc	yellowhammer
hortolà	market gardener
hortolà	ortolan
cruixidell	corn bunting
gratapalles	cirl bunting
golanegre	black-throated
gaig nord-americà	bluejay
agullat	spiny dogfish
agullat	diver
calàbria	loon, diver
mainell	mullion
busqueta	melodious warbler
golafre	gluttonous, voracious
golafre	glutton
escarolat	curly, frilled
mostatxut	moustachio'd
bigotut	moustachio'd
auró del sucre	sugar maple
xarop d'auró	maple syrup
xarop	syrup
bèquic	cough medicine, antitussive
xaropós	syrupy
albaïna	faint, swoon
herba plana	cat's ear
herba plana	baby's tears ()
ortiga morta	deadnettle
estríjol	currycomb
morella roquera	pellitory of the wall, ()
morella roquera	pellitory of the wall, ()
roquerol	a crag martin, especially the Eurasian crag martin
oreneta cuablanca	a house martin, particularly the common house martin
cuablanc	white-tailed
còlit	wheatear
àguila marina	white-tailed eagle
cuanegre	black-tailed
fotja	a coot, especially a Eurasian coot ()
fotja	a lazybones
fotja	puddle
rasclet	Baillon's crake (, syn. )
picardona	Baillon's crake ()
picarol	cowbell
picarol	jingle bell
jusquiam	henbane
cascavell	jingle bell
cascavell	rattle
rampinar	to rake
mirabolà	myrobalan
mirabolà	cherry plum
mirabolaner	cherry plum
cascavellejar	to jingle, tinkle
cascavellejar	to rattle
serp de cascavell	rattlesnake
colobra	a non-venomous snake
colobra	dragonwort
serpentari	serpent eagle, snake eagle
serpentari	secretary bird
serpentària	dragonwort
serpentària	bistort ()
dragonera	dragonwort
sarriassa	cuckoopint
cua d'oreneta	dovetail
cua d'oreneta	arrowhead
cudornella	dovetail
pota de cavall	coltsfoot ()
pota de cavall	, a species of puffball
rapa blava	, a species of arum endemic to the Balearic Islands
rapa de frare	friar's cowl
sageta d'aigua	arrowhead
xenixell	groundsel
herba de Sant Jaume	common ragwort
jaumet	seed beetle, bean weevil
arrencaqueixals	toothpuller
arrencapins	a stout, strong man
xiringuito	beach bar
capbussó	nosedive
all bord	elephant garlic
all bord	ramsons
sots-	sub-; under-
trampós	deceitful, tricky
trampós	cheater, swindler
impunitat	impunity
punició	punishment
brunzir	to buzz, hum, whirr
brunzit	humming, whirring, buzzing
brunzidor	buzzer
brunzidor	bullroarer
curull	heaping, overflowing
curull	excess, overflow
nostramo	master
nostramo	Our Lord
nostramo	skipper, boatswain
trampejar	to cheat
trampejar	to swindle
cucurull	cornet
cucurull	ice cream cone
cucurulla	a long pointed hood, such as that worn by in Holy Week processions
cucurulla	orchard grass
cogullada	crested lark
entelèquia	entelechy
entelèquia	pipe dream
corol·lari	corollary
defallir	to weaken
defallir	to falter, to lose heart
esvaïda	rout, defeat
derrotisme	defeatism
taronja de sang	blood orange
passerell	common linnet
passerell	greenhorn, novice
passerell	a shrewd person
pàssera	blue rock thrush
xalambrí	dunnock
xamerlí	stone-curlew
torlit	stone-curlew
calàndria	calandra lark
corniol	columbine ()
sanguinyol	common dogwood
corneller	cornel
corneller	dogwood
hortènsia	hydrangea
cotoliu	woodlark
curullar	to fill to the brim, to overfill, to heap up
curullar	to fulfill, to complete
curullar	to fill up, to fill in
escorranc	ditch, gully
escorreplats	dish rack, draining board
escorrentiu	runoff
escorriment	runoff, drainage
escorrialles	dregs, last drops
cogombre de mar	sea cucumber
eriçó de mar	sea urchin
raiguer	the foot of a mountain
desembeinar	to unsheathe
nigromància	necromancy
ablució	ablution
abnegació	abnegation
abrigall	coat, overcoat
abrigall	bedclothes
baldament	even though, although
garneu	cunning; malicious
garneu	piper gurnard
matapoll	flax-leaved daphne
tintorell	mezereon
llampuga	sheet lightning
llampuga	mahi-mahi
llampuga	common privet ()
defora	outside
llampó	lightning that is seen but not heard; heat lightning
llampegar	to flash (said of lightning)
llampegadissa	a series of lightning flashes
llampoina	common peony
garratibat	unable to move the legs; paralysed
garratibat	stupefied, astonished
garratibat	conceited, supercilious
esbalair	to astonish, amaze
esbalair	to be astonished, amazed
corretjola	bindweed
atònit	stunned, astonished
estabornir	to knock senseless, to stun, to daze
atonir	to astonish
atonir	to be astonished, stunned
atorrollar	to fluster, to bewilder
atorrollar	to get flustered, bewildered
escarada	piece work
escarader	pieceworker
preufetaire	pieceworker
bavejar	to drool, to drivel
bavejar	to drool on, to slobber on, to slime
bavalles	slobber, spittle
bavalles	leavings, leftovers
mòllera	poor cod ()
porc formiguer	aardvark
os formiguer	anteater
os rentador	raccoon
gosset	snapdragon ( spp.)
gosset de les praderies	prairie dog
prada	meadow
prada	grassland, prairie
gos viverrí	raccoon dog
esquirol volador	flying squirrel
esquirol llistat	chipmunk
ungüent	ointment, salve, unguent
llistar	to stripe, to cover with stripes
llistar	to list, to put in a list
xiprer	cypress
xiprer	cypress
càdec	cade ()
xiprer calb	bald cypress
galà	charming, enchanting, captivating
fenàs	any of various grasses in the genus , particularly or
voraviu	selvage
versemblança	likelihood
versemblança	plausibility
versemblança	verisimilitude
lleguminosa	legume
canyota	Johnson grass
canyot	common reed
canyot	Johnson grass
canyís	a wattle, fence, tray, etc. made of wicker or reeds
canyís	common reed
sisca	cogon
armoll	mountain spinach ()
gavó	restharrow
de bat a bat	wide, completely
esbatanar	to open wide
aguiló	eaglet
aguiló	alerion
goneta	topgallant sail
arganell	cathead
arganell	saddlebag
àrguens	a type of frame attached to a packsaddle for transporting straw, hay, etc.
cabrestant	capstan, winch
bocaterrós	prone
terrós	earth, earthy
cabusset	dabchick
cabrellot	great crested grebe
cabrella	great crested grebe
cranca	European spider crab
cranquet	any small crab species, especially the oyster crab ()
cabra salvatge	wild goat ()
cabra salvatge	Iberian ibex ()
lladella	crab louse
blatària	moth mullein
gavotí	little auk, auklet
coniller	rabbit
conillera	rabbit warren
conillera	rabbit hutch
colomar	columbarium, dovecote
colomar	penthouse
podridura	rottenness
bíter	bitters
formatger	fond of cheese
formatger	a person who is fond of cheese
formatger	cheesemaker
formatgera	cheese mould
formatgeria	cheesery
formatgeria	cheese shop
manteguera	butter churn
manteguera	butter dish
atuell	receptacle, vessel
rodanxa	disk, round
rodanxa	slice, ring
-fília	-philia
-fília	-phily
anticicló	anticyclone
torniquet	tourniquet
torniquet	turnstile
torniolar	to spiral, to form spirals
torniol	spiral, ring, wreath
userda	alfalfa
almegó	melilot, sweet clover
cargolet	a wren, particularly the Eurasian wren
cargolet	snailflower
passaforadí	Eurasian wren
passaforadí	kinglet, crest
semal	a wooden bucket resembling a horizontally bisected barrel with handles used for harvesting grapes
semal	washtub
carrilaire	railway worker
aqüífer	containing water, aquiferous
aqüífer	aquifer
sagrari	sacrarium
sagrari	tabernacle
sagrari	piscina
sonall	jingle
sonall	rattle
ultramarí	overseas
ultramarí	ultramarine
ultramarí	groceries, provisions
adrogueria	grocery
adroguer	druggist
adroguer	grocer
drogueria	drugstore , chemist's
espremedora	juicer
liquadora	juicer
liquar	to juice, to liquefy
liquar	to liquate
liquar	to liquefy
premsa-alls	garlic press
premsar	to crush in a press
premsar	to press. to squeeze
llimonera	lemon
llimonera	common brimstone
courer	coppersmith
coseta	; small thing
mastegatatxes	European pied flycatcher
mastegatatxes	faultfinder
míldiu	mildew
mastegaparaules	mumbler
oïdi	conidium
oïdi	oidium
oïdi	powdery mildew
masteguera	desire to chew something
masteguera	chicory ( spp.)
masteguera	rush skeletonweed ()
lligacama	garter
lligacama	red bandfish
multiculturalista	multiculturalist
multiculturalista	multiculturalist
sàssola	bailer
petitesa	smallness
petitesa	pettiness
empetitir	to make smaller or appear to make smaller, to shrink
empetitir	to grow smaller, to shrink
empetitir	to trivialize, to downplay
tàlveg	thalweg
tàlveg	trough
anou	walnut
desdejunar	to breakfast
sirventès	sirvente (satirical song)
xafar	to crush
borrascós	squally, stormy
penyal	boulder
canyissar	reed bed
escaiola	canary grass
escaiola	scagliola
escaiola	plaster, render
sol·licitant d'asil	asylum seeker
munyidor	milking
munyidora	milking machine
traginer	muleteer
carreter	passable, drivable
carreter	cartwright, wainwright
carreter	carter
dadaisme	dadaism
folgat	unemployed
folgat	loose, wide, roomy, relaxed
bafaner	vain, conceited
balquer	great reed warbler
engrunar	to crumble, to reduce to crumbs
engrunar	to pick off
engrunar	to shatter, to demolish
engrunadís	crumbly
boscarla	any of various small birds of the genus Acrocephalus, popularly known as marsh warblers, reed warblers, swamp warblers, etc.
xitxarra	ratchet drill
xitxarra	reed warbler
buscall	billet
tallareta	common whitethroat
braç mort	oxbow lake
ranera	stertor, rales
subaquàtic	underwater
subcontractista	subcontractor
escalfallits	warming pan
xulla	bacon
xulla	a strip of fried bacon
xulla	a cooked pork, beef, goat, or lamb rib
arpella comuna	western marsh harrier
arpella	harrier
arpellot	harrier
arpellot	the Eurasian black vulture
voltor negre	Eurasian black vulture
milana	eagle ray ()
cua-roig	red-tailed
imperatòria	masterwort (, syn. )
trencavits	sand lance ()
mirambell	summer cypress ()
bellveure	summer cypress ()
tallatubs	pipe cutter, pipecutter
sotabosc	understory
aerofar	aerobeacon
linària	toadflax
guardabosc	forester
guardabosc	ranger
hibisc	hibiscus
cotonós	cottony
cotoner	cotton
cotoner	cotton
herba cotonera	cottongrass
saboner	soap, soapmaking
saboner	soapmaker
saboner	soap seller
clavellina	clove pink, carnation ()
claveller	clove
pebre de Jamaica	allspice
guaiaba	guava
guaiaber	guava
corb marí	cormorant, shag
espondilodiscitis	spondylodiscitis
diacrític	diacritical
diacrític	diacritic
grànul	granule
hidròlisi	hydrolysis
hidrolític	hydrolytic
polaritat	polarity
centurió	centurion
clínicament	clinically
mormó	Mormon
mormó	Mormon
desvergonyiment	shamelessness, impudence
desvergonyiment	a shameless word or action
desvergonyit	shameless
desvergonyit	a shameless person
desvergonyir-se	to lose one's sense of shame, to have the shamelessness
desvergonyir-se	to become disrespectful; to lose one's fear
plomall	crest, plume
plomall	plume, panache
plomall	plume
palpís	fleshy part
polpós	pulpy
polpós	pulpous, pulpy
polpós	fleshy
permòdol	bracket
bec de serra	merganser
enganyapastors	nightjar, goatsucker
enganyapastors	wagtail
morell xocolater	ferruginous duck
anedó	duckling
anedó	ferruginous duck
escloper	a clog-maker
melva	frigate tuna ()
xivita	green sandpiper ()
siseta	marsh sandpiper
gamba verda	common greenshank
gamba roja	common redshank
remena-rocs	turnstone
picaplatges	turnstone
Barcelona és bona si la bossa sona	Barcelona is a great place to go if you have money
pericó	St. John's wort
pericó	common centaury ()
panda petit	red panda ()
còndor	a condor, especially the Andean condor
ànec negre	scoter
bitó	any bittern in the genus , particularly the Eurasian bittern ()
cranc xinès	Chinese mitten crab
cranc dels cocoters	coconut crab
aligot vesper	honey buzzard
aljub	well (for water), cistern, tank, reservoir
hemianòpsia	hemianopsia
mascarell	sooty
mascarell	the northern gannet ()
mascarell	any of various others birds in the family ; the boobies and gannets
sotal	hollow, depression
sotaler	gannet
trinxeraire	street urchin
tórtora rogenca	oriental turtle dove
gallina cega	blind man's buff
gorjablanc	white-throated
gorjablanc	beech marten
gorjagroc	yellow-throated
gorjagroc	yellow-throated marten
gorjut	gluttonous
gorjut	glutton
canyó	canyon, gorge
estiatge	low water
grua cridanera	whooping crane ()
menjamel	honeyeater
panamà	Panama hat
panamà	a cotton textile incorporating Panama weave
anyívol	weak, feeble
anyívol	fruitful in alternating years
àguila menjamones	Philippine eagle
borronar	to bud
barra de tasques	taskbar
mesangi	mesangium
espart	esparto grass, , needlegrass ()
tortellatge	wayfaring-tree ()
moixera	common whitebeam
moixera	a tree or shrub of the genus
lisosòmic	lysosomal
toro mecànic	forklift
arbre de l'amor	Judas tree, redbud
avarca	a type of leather sandal from Menorca
ciberatac	cyberattack
ruixim	spray, splattering
ruixim	drizzle
taronjada	orangeade
martinet menut	little bittern
martinet blanc	little egret
martinet ros	squacco
aloc	chaste tree ()
rajola de xocolata	chocolate bar, bar of chocolate, candy bar
simplisme	simplism
asfixiant	asphyxiant, suffocating
retrògrad	retrograde, backwards
nadilla	millrind
esquàlid	skinny, emaciated
esquàlid	scanty, puny, miserable
esquifit	inadequate, scanty, undersized
bívia	skink
lludrió	skink
arxiota	annatto
aleuta	Aleut
aleuta	Aleut
aleuta	Aleut
centpeus domèstic	house centipede
milpeus	millipede
invàlid	invalid
perspicàcia	perspicacity
penediment	regret
àtic	Attic
àtic	attic
embruixar	to bewitch
embruixar	to captivate
centcames	stone centipede
centcames	centipede
tinent coronel	lieutenant colonel
bolda	boulder
bolda	a stone used to anchor small boats
higiènic	hygienic
menstru	menses
putejar	to whore
putejar	to mistreat, to persecute
putejar	to have a bad time
bertrol	a basket fish trap
corifeu	coryphaeus
corifeu	leader, spokesperson
rampinyar	to steal, swipe, pilfer
aguantador	supporter
aguantallibres	bookend
infeudar	to enfeoff
arlot	boy, lad
parsimònia	Moderation in expenses, thriftiness, frugality, sparingness
parsimònia	Slowness
incomplir	to unfulfill
custòdia compartida	joint custody
enrunar	to reduce to rubble, to demolish
enrunar	to be reduced to rubble, to be demolished
enderroc	demolition
enderroc	rubble
empait	pursuit, chase
xicra	jicara
escolana	choirgirl
escolà	choirboy
escolà	sacristan
escolania	boys' choir
escolania	choir school
cagaferro	clinker
armatost	device used to arm the crossbow, consisting of a winch with ropes and two handles
armatost	contraption, a machine that is complicated and precarious
armatost	bulky thing that is a nuisance
ormeig	rigging
ormeig	gear, equipment
ormejar	to harness
ormejar	to rig
ventejar	to air
ventejar	to winnow
ventejar	to be windy, to blow
cercopitec	guenon
a orri	in abundance; in bulk
a orri	haphazardly, in a disorderly fashion
en orri	in abundance
en orri	in bulk
en orri	moving, swarming
anar en orri	go downhill, go to the dogs
a doll	in abundance
a rodolons	rolling, tumbling
a empentes	rudely
a empentes i rodolons	with great difficulty; in fits and starts
sutzura	dirt, filth
fumejar	to steam
fumejar	to smoke
judicar	to judge
palmerar	palm tree wood or plantation
canyar	reed bed, reed field, canebrake
arrossar	paddy, rice field
daixò	thingy, stuff
daixonses	thingy, thingamajig, whatchamacallit, whatshisname
esmortir	to deaden
esmortir	to muffle
esmortir	to pass out
xau-xau	slowly, softly
xau-xau	so-so, fair
sebollir	to inter, to entomb
sebollir	to bury
eixugavidres	squeegee
eixugavidres	windshield wiper
emprovar	to try on
emprovar	to try on; to fit, to have fitted
emprova	fitting
emprovador	changing room, fitting room
deixondir	to wake up
deixondir	to revive, to liven up
deixondir	to wake up; to perk up, to revive
brollar	to sprout
brollar	to spring up
ensaginar	to grease
fullat	leafy
fullat	leaved
plantatge	plantain
plantatge d'aigua	a water plantain, especially the ()
pasta fullada	puff pastry
pastetes	wheat paste
pasta de dents	toothpaste
pasta de te	biscuit , cookie
pasta d'ebenista	wood putty
ebenisteria	cabinetry
ebenisteria	a cabinetmaker's workshop or a shop that deals in cabinetry
ebenista	cabinetmaker
fullós	leafy
regust	aftertaste
infrahabitatge	informal housing ; an informal settlement
videovigilància	video surveillance, video monitoring, CCTV
amanerar	to affect, exaggerate
amanerar	to become mannered, affected
gatet	kitten
passacamins	common knotgrass ()
travador	pastern
corxera	quaver/eighth note
dopatge	doping
dopatge	doping
desmuntatge	dismantling, disassembly
rebaix	reduction, lowering, thinning
rebaix	recess
besuny	need, necessity
escurabutxaques	pickpocket
pesuc	heavy
escaquista	chess player
