# lang=ar
ركوة	[[غَلَّايَةُ]] [[قَهْوَة]]
ركوة	غَلَّايَةُ
ركوة	قَهْوَة
ركوة	بَكْرَج
إفريقية	الْمَغْرِب الْأَدْنَى
من حفر حفرة لأخيه وقع فيها	لَا يَحِيقُ الْمَكْرُ السَّيِّئُ إِلَّا بِأَهْلِهِ
غفور	غَفَّار
غاص	غَطَسَ
غاص	اِنْغَمَسَ
غاص	نَقَعَ
حنق	غَضِبَ
زغب	fuzz
زغب	زَبَب
فستق حلبي	فُسْتُق
مشؤوم	فَاجِع
مشؤوم	مَنْحُوس
الحرم الشريف	الْمَسْجِد الْأَقْصَى
الحرمين	الْحَرَمَيْن الشَّرِيفَيْن
عشي	أَصِيل
عشي	رَوَاح
ديكور	زِينَة
مونتاج	تَنْسِيق
قمام	آكِل الجِيَف
نقحرة	النَّقْلُ الحَرْفِي
باطلا	عَبَثًا
جمل اليهود	حرباء
أمير البحر	أَدْمِيرَال
أم الشرائع	بيروت
الثلثاء	يَوْم الثُّلَثَاء
آسيا الصغرى	اَلْأَنَاضُول
بروباغندا	دِعَايَة
